357. autour de toi et tu te poses (adv, A1)
358. autour du (other, A1)
359. autre (pron, A1)
360. autrefois (adv, A1)
361. autrement (adv, A1)
362. autres (pron, A1)
363. autrichien (adj, A1)
364. autrichiens (noun, A1)
365. auvergnat (adj, A1)
366. aux (other, A1)
367. avaianche (noun, A1)
368. avalanche (noun, A1)
369. avant (adv, A1)
370. avant - (other, A1)
371. avantage (noun, A1)
372. avantages (noun, A1)
373. avarice (noun, A1)
374. avec (other, A1)
375. avenir (noun, A1)
376. aventure (noun, A1)
377. aventurier (noun, A1)
378. avenue (noun, A1)
379. avidement (adv, A1)
380. avion (noun, A1)
381. avis (noun, A1)
382. avocat (noun, A1)
383. avoine (noun, A1)
384. avoir (verb, A1)
385. avoir besoin (verb, A1)
386. avoir du mal (verb, A1)
387. avoir le temps (verb, A1)
388. avoir lieu (verb, A1)
389. avouer (verb, A1)
390. axe (noun, A1)
391. azou (noun, A1)
392. aztèque (adj, A1)
393. aéroport (noun, A1)
394. aîné (adj, A1)
395. aïd (other, A1)
396. baba (adj, A1)
397. bac (noun, A1)
398. baccalauréat (noun, A1)
399. bagnat (noun, A1)
400. baguette (noun, A1)
