329. leven (noun, A1)
330. lichaam (noun, A1)
331. lief (adj, A1)
332. liever (adv, A1)
333. ligbad (noun, A1)
334. liggen (verb, A1)
335. linksaf (adv, A1)
336. lk (noun, A1)
337. lokaal (noun, A1)
338. loop (noun, A1)
339. luchtvaartmaatschappij (noun, A1)
340. lui (adj, A1)
341. luis (noun, A1)
342. luizenkam (noun, A1)
343. lunch (noun, A1)
344. maaltijd (noun, A1)
345. maand (noun, A1)
346. mager (adj, A1)
347. mail (noun, A1)
348. makelaar (noun, A1)
349. maken (verb, A1)
350. mam (noun, A1)
351. man (noun, A1)
352. me (pron, A1)
353. mee (prep, A1)
354. meest (pron, A1)
355. meisje (noun, A1)
356. melk (noun, A1)
357. melkweg (noun, A1)
358. mens (noun, A1)
359. meteen (adv, A1)
360. meter (noun, A1)
361. metro (noun, A1)
362. mevrouw (noun, A1)
363. middag (noun, A1)
364. mij (pron, A1)
365. minuut (noun, A1)
366. miss (noun, A1)
367. missen (verb, A1)
368. mmm (adv, A1)
369. mobiel (adj, A1)
370. mode-show (noun, A1)
371. moeder (noun, A1)
372. moeilijk (adj, A1)
373. muziek (noun, A1)
374. na (prep, A1)
375. naam (noun, A1)
376. naar buiten (prep, A1)
377. naast (prep, A1)
378. nat (adj, A1)
379. natuurkunde (noun, A1)
380. navigatie (noun, A1)
381. neef (noun, A1)
382. negen uur (noun, A1)
383. nerveus (adj, A1)
384. niemand (pron, A1)
385. niet alleen (adv, A1)
386. niet waar (adv, A1)
387. niets (pron, A1)
388. nodigen (verb, A1)
389. noemen (verb, A1)
390. noorden (noun, A1)
391. normaal (adj, A1)
392. nu (adv, A1)
393. o (interj, A1)
394. ochtend (noun, A1)
395. oefening (noun, A1)
396. oma (noun, A1)
397. onder (prep, A1)
398. ondergoed (noun, A1)
399. onderwerp (noun, A1)
400. ongelukkig (adj, A1)
