338. barbaar (noun, B1)
339. barbaars (adj, B1)
340. barbiepop (noun, B1)
341. bariton (noun, B1)
342. baron (noun, B1)
343. barones (noun, B1)
344. barrière (noun, B1)
345. bars (adj, B1)
346. baseren (verb, B1)
347. basisbehoefte (noun, B1)
348. basiseducatie (noun, B1)
349. basisgedrag (noun, B1)
350. basisschoolkind (noun, B1)
351. basiswoordenschat (noun, B1)
352. baten (verb, B1)
353. batist (noun, B1)
354. batterij (noun, B1)
355. bebouwd (adj, B1)
356. bedenking (noun, B1)
357. bedenktijd (noun, B1)
358. bederven (verb, B1)
359. bedreigen (verb, B1)
360. bedrijfsleider (noun, B1)
361. bedrijfsleven (noun, B1)
362. bedrijfsnaam (noun, B1)
363. bedrijfsongeluk (noun, B1)
364. bedrijfstak (noun, B1)
365. bedrijfswagen (noun, B1)
366. beduidend (adj, B1)
367. beeldbuis (noun, B1)
368. beeldverhaal (noun, B1)
369. beeldwoordenboek (noun, B1)
370. begaan (verb, B1)
371. begeleiden (verb, B1)
372. begeleider (noun, B1)
373. begeven (verb, B1)
374. beginniveau (noun, B1)
375. begrafenisplechtigheid (noun, B1)
376. beha (noun, B1)
377. behalen (verb, B1)
378. behandeling (noun, B1)
379. behandelmethode (noun, B1)
380. beheer (noun, B1)
381. beheerder (noun, B1)
382. beheersbaar (adj, B1)
383. beheersen (verb, B1)
384. behendig (adj, B1)
385. behendigsten (noun, B1)
386. beheren (verb, B1)
387. behoefte (noun, B1)
388. behouden (verb, B1)
389. behulp (noun, B1)
390. behulpzaam (adj, B1)
391. beiaard (noun, B1)
392. bejaard (adj, B1)
393. bejaardentehuis (noun, B1)
394. bekampen (verb, B1)
395. bekendheid (noun, B1)
396. bekennen (verb, B1)
397. bekeuren (verb, B1)
398. bekkentrekker (noun, B1)
399. bekomen (verb, B1)
400. bekoren (verb, B1)
